Facility Name	Facility ID	facility_id_clean	State	facility_name_clean	Measure Name	Condition_Short	Number of Discharges	Footnote	Excess Readmission Ratio	Predicted Readmission Rate	Expected Readmission Rate	Number of Readmissions	Start Date	End Date	suppressed_flag	performance_tier	City/Town	Hospital Type	Hospital Ownership	Emergency Services	Hospital Overall Rating	rating_available	Count of Facility Safety Measures
SOUTHEAST HEALTH MEDICAL CENTER	10001	010001	AL	SOUTHEAST HEALTH MEDICAL CENTER	READM-30-HIP-KNEE-HRRP	Hip & Knee Replacement			0.9875	4.5734	4.6311		7/1/2021	6/30/2024	Partial	At or Below Average	DOTHAN	Acute Care Hospitals	Government - Hospital District or Authority	Yes	4	Y	7
SOUTHEAST HEALTH MEDICAL CENTER	10001	010001	AL	SOUTHEAST HEALTH MEDICAL CENTER	READM-30-CABG-HRRP	Heart Bypass (CABG)	137		0.9531	10.396	10.9078	13	7/1/2021	6/30/2024	None	At or Below Average	DOTHAN	Acute Care Hospitals	Government - Hospital District or Authority	Yes	4	Y	7
SOUTHEAST HEALTH MEDICAL CENTER	10001	010001	AL	SOUTHEAST HEALTH MEDICAL CENTER	READM-30-AMI-HRRP	Heart Attack	273		0.937	13.2998	14.1948	33	7/1/2021	6/30/2024	None	At or Below Average	DOTHAN	Acute Care Hospitals	Government - Hospital District or Authority	Yes	4	Y	7
SOUTHEAST HEALTH MEDICAL CENTER	10001	010001	AL	SOUTHEAST HEALTH MEDICAL CENTER	READM-30-COPD-HRRP	COPD	122		0.9823	16.6384	16.9389	19	7/1/2021	6/30/2024	None	At or Below Average	DOTHAN	Acute Care Hospitals	Government - Hospital District or Authority	Yes	4	Y	7
SOUTHEAST HEALTH MEDICAL CENTER	10001	010001	AL	SOUTHEAST HEALTH MEDICAL CENTER	READM-30-PN-HRRP	Pneumonia	507		0.9871	15.7529	15.9591	79	7/1/2021	6/30/2024	None	At or Below Average	DOTHAN	Acute Care Hospitals	Government - Hospital District or Authority	Yes	4	Y	7
SOUTHEAST HEALTH MEDICAL CENTER	10001	010001	AL	SOUTHEAST HEALTH MEDICAL CENTER	READM-30-HF-HRRP	Heart Failure	653		1.0233	20.5695	20.101	136	7/1/2021	6/30/2024	None	Elevated	DOTHAN	Acute Care Hospitals	Government - Hospital District or Authority	Yes	4	Y	7
MARSHALL MEDICAL CENTERS	10005	010005	AL	MARSHALL MEDICAL CENTERS	READM-30-CABG-HRRP	Heart Bypass (CABG)		5					7/1/2021	6/30/2024	Full	Suppressed	BOAZ	Acute Care Hospitals	Government - Hospital District or Authority	Yes	3	Y	7
MARSHALL MEDICAL CENTERS	10005	010005	AL	MARSHALL MEDICAL CENTERS	READM-30-AMI-HRRP	Heart Attack		1					7/1/2021	6/30/2024	Full	Suppressed	BOAZ	Acute Care Hospitals	Government - Hospital District or Authority	Yes	3	Y	7
MARSHALL MEDICAL CENTERS	10005	010005	AL	MARSHALL MEDICAL CENTERS	READM-30-COPD-HRRP	COPD	132		0.9308	16.8541	18.108	17	7/1/2021	6/30/2024	None	At or Below Average	BOAZ	Acute Care Hospitals	Government - Hospital District or Authority	Yes	3	Y	7
MARSHALL MEDICAL CENTERS	10005	010005	AL	MARSHALL MEDICAL CENTERS	READM-30-HF-HRRP	Heart Failure	164		1.0087	20.9512	20.77	35	7/1/2021	6/30/2024	None	Elevated	BOAZ	Acute Care Hospitals	Government - Hospital District or Authority	Yes	3	Y	7
MARSHALL MEDICAL CENTERS	10005	010005	AL	MARSHALL MEDICAL CENTERS	READM-30-HIP-KNEE-HRRP	Hip & Knee Replacement			0.8602	4.6113	5.3609		7/1/2021	6/30/2024	Partial	Top Performer	BOAZ	Acute Care Hospitals	Government - Hospital District or Authority	Yes	3	Y	7
MARSHALL MEDICAL CENTERS	10005	010005	AL	MARSHALL MEDICAL CENTERS	READM-30-PN-HRRP	Pneumonia	292		0.8727	13.3116	15.2532	30	7/1/2021	6/30/2024	None	Top Performer	BOAZ	Acute Care Hospitals	Government - Hospital District or Authority	Yes	3	Y	7
NORTH ALABAMA MEDICAL CENTER	10006	010006	AL	NORTH ALABAMA MEDICAL CENTER	READM-30-AMI-HRRP	Heart Attack	285		0.9195	11.6567	12.6772	29	7/1/2021	6/30/2024	None	At or Below Average	FLORENCE	Acute Care Hospitals	Proprietary	Yes	2	Y	8
NORTH ALABAMA MEDICAL CENTER	10006	010006	AL	NORTH ALABAMA MEDICAL CENTER	READM-30-HIP-KNEE-HRRP	Hip & Knee Replacement			1.0527	6.083	5.7783		7/1/2021	6/30/2024	Partial	Elevated	FLORENCE	Acute Care Hospitals	Proprietary	Yes	2	Y	8
NORTH ALABAMA MEDICAL CENTER	10006	010006	AL	NORTH ALABAMA MEDICAL CENTER	READM-30-PN-HRRP	Pneumonia	679		0.9819	15.6444	15.9334	105	7/1/2021	6/30/2024	None	At or Below Average	FLORENCE	Acute Care Hospitals	Proprietary	Yes	2	Y	8
NORTH ALABAMA MEDICAL CENTER	10006	010006	AL	NORTH ALABAMA MEDICAL CENTER	READM-30-HF-HRRP	Heart Failure	461		0.9925	19.2066	19.3517	88	7/1/2021	6/30/2024	None	At or Below Average	FLORENCE	Acute Care Hospitals	Proprietary	Yes	2	Y	8
NORTH ALABAMA MEDICAL CENTER	10006	010006	AL	NORTH ALABAMA MEDICAL CENTER	READM-30-CABG-HRRP	Heart Bypass (CABG)			1.0027	11.1697	11.1399		7/1/2021	6/30/2024	Partial	Elevated	FLORENCE	Acute Care Hospitals	Proprietary	Yes	2	Y	8
NORTH ALABAMA MEDICAL CENTER	10006	010006	AL	NORTH ALABAMA MEDICAL CENTER	READM-30-COPD-HRRP	COPD	174		1.052	19.1045	18.1604	37	7/1/2021	6/30/2024	None	Elevated	FLORENCE	Acute Care Hospitals	Proprietary	Yes	2	Y	8
MIZELL MEMORIAL HOSPITAL	10007	010007	AL	MIZELL MEMORIAL HOSPITAL	READM-30-PN-HRRP	Pneumonia	84		1.0345	16.336	15.7913	16	7/1/2021	6/30/2024	None	Elevated	OPP	Acute Care Hospitals	Voluntary non-profit - Private	Yes	1	Y	3
MIZELL MEMORIAL HOSPITAL	10007	010007	AL	MIZELL MEMORIAL HOSPITAL	READM-30-AMI-HRRP	Heart Attack		1					7/1/2021	6/30/2024	Full	Suppressed	OPP	Acute Care Hospitals	Voluntary non-profit - Private	Yes	1	Y	3
MIZELL MEMORIAL HOSPITAL	10007	010007	AL	MIZELL MEMORIAL HOSPITAL	READM-30-HF-HRRP	Heart Failure	39		1.062	19.6947	18.5446	12	7/1/2021	6/30/2024	None	Elevated	OPP	Acute Care Hospitals	Voluntary non-profit - Private	Yes	1	Y	3
MIZELL MEMORIAL HOSPITAL	10007	010007	AL	MIZELL MEMORIAL HOSPITAL	READM-30-HIP-KNEE-HRRP	Hip & Knee Replacement		1					7/1/2021	6/30/2024	Full	Suppressed	OPP	Acute Care Hospitals	Voluntary non-profit - Private	Yes	1	Y	3
